Location ID,Parent Location ID,Location Name,Location Type,Accessibility,Intersection,TTC Information,District,Street No,Street No Suffix,Street Name,Street Type,Street Direction,Postal Code,Description
31,31,ALEXANDRA PARK,park,,,,Toronto East York,275,,BATHURST,ST,,,"A 2.7 hectare park at Bathurst Street and Dundas Street West featuring a ball diamond, picnic area, community garden, volleyball court, skateboard area, wading pool and a children's playground. On the west side of the park is the Alexandra Park/<a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=bdc41076b6ed3410VgnVCM10000071d60f89RCRD"">Harry Gairey Outdoor Artificial Ice Rink</a> (416) 338-1270. On the north side of the park is the Alexandra Park Outdoor Pool and the Scadding Court Community Centre."
32,32,STANLEY G. GRIZZLE PARK,park,,Chisholm Ave & Danforth Ave,,Toronto East York,21,,CHISHOLM,AVE,,,"This park has a total size of 1868 square meters which includes a playground. Formerly known as ""Main Street Parkette"", this park was renamed in 2007 to honour <a href=""/wps/portal/contentonly?vgnextoid=bdc41076b6ed3410VgnVCM10000071d60f89RCRD"">Stanley G. Grizzle</a>, a notable human rights campaigner, Canadian Court of Citizenship judge and author."
33,33,BROWN COMMUNITY CENTRE,crc,,,Travel to St. Clair Station. Board the 512 St Clair and travel to Avenue Road. Walk south to 454 Avenue Road.,Toronto East York,454,,AVENUE,RD,,M5M 4M7,"Attached to on of the Toronto District School Board schools (Brown Public School), Brown Community Centre offers programs and activities for resident of all ages. Recreation staff are available in the office who can provide program registration and information about events in the faciltiy, satellite locations and the community."
34,34,MALTA PARK,park,,Dundas St W & St John's Rd,,Etobicoke York,3179,,DUNDAS,ST,W,,
35,35,SUSAN TIBALDI PARKETTE,park,,Brock Ave & Bloor St W,,Toronto East York,620,,BROCK,AVE,,,
36,36,EARL BEATTY COMMUNITY CENTRE,crc,,Glebeholme Blvd & Woodington Ave,Travel to Coxwell Station.  Exit station and walk north on Coxwell and then east on Glebeholme Blvd to number 455.,Toronto East York,455,,GLEBEHOLME,BLVD,,M4C 1V3,"Earl Beatty Community Centre offers a wide variety of recreational programs for all ages including: swimming lessons, camp programs in December, March, and during the day in the summer, creative arts, ballet, jazz, gymnastics beginner recreational and advanced, caregiver & tot playtime, kinder gym, women's sports club, karate beginner intermediate and advanced, soccer house league, touch football, t-ball, and ESSO NHL Street Buds, ball hockey. The Community Centre also offers fitness activities such as yoga, Pilates, and Tai Chi and Youth leadership training in babysitting."
37,37,MARIA STREET PARKETTE,park,,Maria St & Runnymede Rd,,Etobicoke York,270,,MARIA,ST,,,
38,38,MARIAN ENGEL PARK,park,,Melita Ave & Rains Ave,,Toronto East York,285,,MELITA,AVE,,,Marian Engel Park is home to a playground and wading pool. This facility has street parking around the neighbourhood.
39,39,FRANKLAND COMMUNITY CENTRE,crc,,Logan Ave & Danforth Ave,"Travel to Chester Station.  Exit station ans walk south to Danforth Ave, east to Logan and south to 816 Logan Ave.",Toronto East York,816,,LOGAN,AVE,,M4K 3E1,"Small facility located in Frankland School. The use of pool, two rooms, and gym are used to run programs during the day and after school."
40,40,MARKET LANE PARK,park,,King St E & Jarvis St,,Toronto East York,149,,KING,ST,E,,
41,41,ALLAN GARDENS,park,,,"TTC accessible from College station. Take the College streetcar 506 east on Carlton, or from Sherbourne station, take the Sherbourne bus 95 south.",Toronto East York,160,,GERRARD,ST,E,,"Allan Gardens is a park and an indoor botanical garden with six greenhouses comprising over 16,000 square feet. The indoor conservatory features colourful plants and flowers from around the world. The colourful seasonal plants supplement the permanent plant collection of botanical importance since 1858. The conservatory boasts the ""Palm House"" (1909) modelled after similar structures in the United States and England.<br><br>
<a href=""/wps/portal/contentonly?vgnextoid=b2a9dada600f0410VgnVCM10000071d60f89RCRD&vgnextfmt=default"">Read more about Allan Gardens Conservatory</a><br>
The new playground features open play opportunities for all ages and includes a water tap and sand play area, and incorporates natural materials such as fieldstone boulders and log seating."
42,42,ANTIBES COMMUNITY CENTRE,crc,Fully Accessible,Antibes Dr & Plum Treeway,Travel to Wilson Station.  Board the 160 Bathurst North and travel to Drewry .  Antibes Dr. is on the west side of the street.  Take the right and walk to 140 Antibes dr,North York,140,,ANTIBES,DR,,M2R 3J3,"Antibes Community Centre is a fully accessible Community Centre in the Bathurst Street & Finch Avenue West area, which offers a variety of recreational programs for all ages. Antibes Community Centre also serves as a host for many local community groups who use the facility to run their individual programs and events. Come visit Antibes Community Centre, your home away from home!
<br><br>
This location is a <a href=""/wps/portal/contentonly?vgnextoid=aaafdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=a96adada600f0410VgnVCM10000071d60f89RCRD#location"">community centre where programs are free</a>."
44,44,DUNCAN MILL GREENBELT,park,,Moatfield Dr & Don Mills Rd,,North York,100,,MOATFIELD,DR,,,
45,45,HARRISON POOL,crc,Partially Accessible,Stephanie St & John St,Travel to Osgoode Station.  Exit the station and walk west to McCaul St.  Walk north to Stephanie and then west to number 15,Toronto East York,15,,STEPHANIE,ST,,M5T 1B1,"Harrison Pool is located at Queen Street West and McCaul Street. The pool is 20 yards long and the building is also open for shower use.
<br><br>
This location is a <a href=""/wps/portal/contentonly?vgnextoid=aaafdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=a96adada600f0410VgnVCM10000071d60f89RCRD#location"">community centre where programs are free</a>."
46,46,GEARY AVENUE PARKETTE,park,,Geary Ave & Westmoreland Ave N,,Etobicoke York,115,,GEARY,AVE,,,
47,47,AMSTERDAM SQUARE,park,,Avenue Rd & St Clair Ave W,,Toronto East York,525,,AVENUE,RD,,,This park is located at the corner of St. Clair Avenue West and Avenue Road and features an ornamental fountain under a mature tree canopy.
48,48,HILLCREST COMMUNITY CENTRE,crc,Partially Accessible,Bathurst St & Burnside Dr,"Travel to Dupont Station.  Board the 127 Davenport  and travel to Bathurst.  
Walk north to 1339 Bathurst St.",Toronto East York,1339,,BATHURST,ST,,,"Attached to one of the Toronto District School Board schools (Hillcrest Public School), Hillcrest Community Centre offers programs and activities for residents of all ages. Recreation staff are available in the office who can provide program registration and information about events in the facility, satellite locations and the community."
49,49,MASARYK PARK,park,,,,Toronto East York,212,,COWAN,AVE,,,"This half hectare park near Queen Street West and Lansdowne Road features a community garden, a wading pool and a children's playground. The park is south of the Masaryk-Cowan Community Centre."
50,50,GERRARD - CARLAW PARKETTE,park,,Gerrard St E & Carlaw Ave,,Toronto East York,855,,GERRARD,ST,E,,This park features a dog off-leash area.
52,52,HOLY FAMILY COMMUNITY CENTRE,crc,Fully Accessible,Close Ave & King St W,Travel to St. Andrew's Station.  Board the 504 King  and travel to Close Ave.  Walk north to 139 Close Ave.,Toronto East York,141,,CLOSE,AVE,,M6K 2V6,Please contact the Holy Family Community Centre for more information.
53,53,MAUGHAN CRESCENT PARKETTE,park,,Maughan Cres & Oliver Mews,,Toronto East York,37,,MAUGHAN,CRES,,,
55,55,GLEBE MANOR SQUARE,park,,Harwood Rd & Belsize Dr,,Toronto East York,51,,HARWOOD,RD,,,
56,56,GLEN EDYTH DRIVE PARKETTE,park,,Glen Edyth Dr & Davenport Rd,,Toronto East York,2,,GLEN EDYTH,DR,,,
57,57,ANNIVERSARY PARK,park,,Parliament St & Gerrard St E,,Toronto East York,410,,PARLIAMENT,ST,,,
58,58,JIMMIE SIMPSON RECREATION CENTRE,crc,Fully Accessible,Queen St E & Mc Gee St,Travel to Queen Station.  Board the 501 Queen and travel to Empire.  Walk east to number 870,Toronto East York,870,,QUEEN,ST,E,M4M 3G9,"A large facility located on Queen Street in Jimmie Simpson Park. Jimmie Simpson Recreation Centre is a hub for recreation programming with a variety of opportunities for everyone from preschool to older adults. It offers a wide-range of activities including swimming, fitness, youth, sports, after school and preschool programs.<br><br> 
Jimmie Simpson Artificial Ice rink is located in Jimmie Simpson Park. The ice rink features a hockey pad which doubles as a pleasure pad. There are change rooms for changing into skates nearby. There are also tennis courts and a soccer field in the park.
<br><br>
This location is a <a href=""/wps/portal/contentonly?vgnextoid=aaafdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=a96adada600f0410VgnVCM10000071d60f89RCRD#location"">community centre where programs are free</a>."
59,59,GLEN STEWART PARK,park,,,,Toronto East York,351,,GLEN MANOR,DR,,,"This park features the <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=9d7fdada600f0410VgnVCM10000071d60f89RCRD&vgnextchannel=4afd1d90f2fac410VgnVCM10000071d60f89RCRD"">Glen Stewart Ravine</a>, with trails that pass through wonderful, undulating terrain including a stream bordered by steep wooded slopes. At the south end of the ravine, the park continues south between Glen Manor Drive East and Glen Manor Drive West, ending at the northern tip of Ivan Forrest Gardens. This section features sloping hillsides, a naturalized landscape and pathways for walking."
